Term ID,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count
259,Eligendi,eligendi,"Voluptas voluptates dolor aliquid facilis aut labore debitis labore quia unde ipsam recusandae tenetur voluptatem soluta nostrum veritatis quaerat suscipit quos dolore voluptates accusamus quas incidunt aspernatur recusandae architecto totam est quaerat autem nisi quia molestias cupiditate et temporibus doloremque enim et maiores reprehenderit dicta ex id.",,,,,
260,Eos,eos,"Rerum molestiae non et id minima quo quaerat minima expedita voluptatum eum.",,,,,
261,Eos doloribus,eos-doloribus,"Quis perferendis minus voluptatibus exercitationem laborum voluptate atque provident ut dicta ab unde amet in facere qui dolor dolores qui sed dolores vitae eveniet.",,,,,
262,Est ea,est-ea,"Earum omnis aperiam aut fugit asperiores ea cum porro rerum rerum numquam sit eum possimus eos neque molestiae rem sequi dolorem iste aspernatur iure suscipit provident quibusdam rerum rerum dicta omnis quia quia.",,,,,
263,Molestias officia,molestias-officia,"Iusto ipsa qui aut sed et reiciendis officia cupiditate dolorem itaque blanditiis et repellendus aut facilis.",,,,,
264,Mollitia,mollitia,"Fugiat ex odio soluta sint exercitationem quasi ratione quis qui iure numquam veritatis voluptas et in odio repellat vero vel repudiandae est occaecati et mollitia autem velit.",,,,,
265,Natus,natus,"Quod occaecati officia quam at illum aperiam dicta consequuntur aut magni sint voluptate totam unde dicta sed ex et exercitationem dignissimos qui et.",,,,,
266,Qui,qui,"Nostrum ut est ipsa quia optio a odit accusamus sunt odit eos perferendis unde adipisci pariatur aut cupiditate omnis amet autem reprehenderit aut et ut nam iste quia iure voluptatem assumenda blanditiis eum quod minus magni ipsa sunt eum ut animi illo nostrum tenetur neque quia reiciendis.",,,,,
267,Sed,sed,"Inventore et ipsa voluptas ut sequi eligendi omnis fugit impedit modi veritatis aut tempore voluptas qui consequatur dignissimos fuga aliquid numquam quo quia id sed ipsum velit dolorem dolores quo dolore possimus error temporibus ab magni earum harum a quae incidunt porro qui quod ut culpa nemo id et odit non quaerat ipsa.",,,,,
268,Ut,ut,"Quod cumque quibusdam quae quia dolores sint odio modi tenetur minima odit.",,,,,
4391,brooklyn,brooklyn,,,,,,,,,1
4392,fashion,fashion,,,,,,,,,1
4393,style,style-2,,,,,,,,,1
4394,women,women-3,,,,,,,,,1
7708,Inicio,inicio,,,,,,,,,1
7709,Servicios,servicios,,,,,,,,,1
7710,ERP,erp,,,,,,7709,Servicios,servicios,1
7711,CRM,crm,,,,,,7709,Servicios,servicios,1
7712,Desarrollo Web,desarrollo-web,,,,,,7709,Servicios,servicios,1
7716,Contacto,contacto,,,,,,,,,1
7717,Información,informacion,,,,,,7716,Contacto,contacto,1
7718,Información de la empresa,informacion-de-la-empresa,,,,,,7717,Información,informacion,1
7722,Sobre Nosotros,sobre-nosotros,,,,,,7717,Información,informacion,1
7723,Llamado a la acción,llamado-a-la-accion,,,,,,,,,1
7731,E-Commerce,e-commerce,,,,,,7709,Servicios,servicios,1
7732,ventas en línea,ventas-en-linea,,,,,,7731,E-Commerce,e-commerce,1
7733,plataformas personalizadas,plataformas-personalizadas,,,,,,7731,E-Commerce,e-commerce,1
7736,Dropshipping,dropshipping,,,,,,7731,E-Commerce,e-commerce,1
7737,gestión de negocios,gestion-de-negocios,,,,,,7709,Servicios,servicios,1
7741,Marketing Digital,marketing-digital,,,,,,7709,Servicios,servicios,1
7742,visibilidad,visibilidad,,,,,,7741,Marketing Digital,marketing-digital,1
7743,ROI,roi,,,,,,7741,Marketing Digital,marketing-digital,1
7746,Soluciones,soluciones,,,,,,,,,1
7747,Gestión Empresarial,gestion-empresarial,,,,,,7746,Soluciones,soluciones,1
7748,ciberseguridad,ciberseguridad,,,,,,7746,Soluciones,soluciones,1
7751,Business Intelligence,business-intelligence,,,,,,7746,Soluciones,soluciones,1
7752,análisis de datos,analisis-de-datos,,,,,,7751,Business Intelligence,business-intelligence,1
7753,reportes,reportes,,,,,,7751,Business Intelligence,business-intelligence,1
7754,SEO y Marketing de Contenidos,seo-y-marketing-de-contenidos,,,,,,7709,Servicios,servicios,1
7755,SEO,seo,,,,,,7754,SEO y Marketing de Contenidos,seo-y-marketing-de-contenidos,1
